time,state_x,state_y,state_z,state_v_x,state_v_y,state_v_z,state_phi,state_theta,state_psi,state_wx,state_wy,control_u_thrust,control_u_phi,control_u_theta,control_u_psi,output_x,output_y,output_z,output_v_x,output_v_y,output_v_z,output_phi,output_theta,output_psi,output_wx,output_wy,output_Ax,output_Ay,output_Az,output_rx,output_ry,output_Wax,output_Way
0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,-1.5,1.5,2.0,21.248880836594513,-0.3206426750764805,0.17128996015103887,0.18168105700461748,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,-1.5,1.5,2.0,-0.10055287750457902,0.057003720265975895,-2.4139398410739603,0.5,0.0,2.8888841707065547,-1.6377168832414872
0.1,0.0077326425836036616,-0.09940715660549763,1.9879401964366938,0.9962989153360562,-0.0004911444855450462,-0.24113710666881594,-0.03206426750764805,0.01712899601510389,-1.481831894299538,1.5,2.0,30.622420664015323,-0.2715956819612169,-0.08126874209368558,0.5474116455794745,0.0077326425836036616,-0.09940715660549763,1.9879401964366938,0.9962989153360562,-0.0004911444855450462,-0.24113710666881594,-0.03206426750764805,0.01712899601510389,-1.481831894299538,1.5,2.0,0.0830923045197599,0.3999103996588245,0.8500431866734187,0.5011714724225023,-0.00024706200238085825,2.8551187765224144,-1.6722533056972195
0.2,0.019036752130025095,-0.1986512759477935,1.9680552239457627,1.0002652385527075,-0.0005409646245095657,-0.15681248474598458,-0.059223835703769726,0.009002121805735326,-1.42709072974159,1.5,2.0,32.73905836382968,-0.28910322555453055,-0.013605452465244335,0.9017225330791012,0.019036752130025095,-0.1986512759477935,1.9680552239457627,1.0002652385527075,-0.0005409646245095657,-0.15681248474598458,-0.059223835703769726,0.009002121805735326,-1.42709072974159,1.5,2.0,0.006166754307932384,0.7361467342131629,1.570444363564793,0.5082505949946218,-0.00027487268544476275,2.764832220659212,-1.771502106394578
0.30000000000000004,0.03748219499787508,-0.2969277222615089,1.9601808897080208,1.0000910881657985,-0.0004112362496252295,-0.001166498459010873,-0.08813415825922276,0.007641576559210894,-1.33691847643368,1.5,2.0,31.460215788865895,-0.3589675701412949,0.009699042144039804,1.2299383499332535,0.03748219499787508,-0.2969277222615089,1.9601808897080208,1.0000910881657985,-0.0004112362496252295,-0.001166498459010873,-0.08813415825922276,0.007641576559210894,-1.33691847643368,1.5,2.0,-0.007076627766390085,1.0307828529800225,1.097522062010921,0.5102034681680665,-0.0002097950509488363,2.598013816669823,-1.9230768217663197
0.4,0.06621189715914842,-0.392628018266279,1.9654818856621226,0.9998638880926565,-0.00041346880154111663,0.10642898156057239,-0.12403091527335225,0.00861148077361487,-1.2139246414403544,1.5,2.0,29.41094335120693,-0.37393062961738516,-0.007640274034403871,1.5307700654772187,0.06621189715914842,-0.392628018266279,1.9654818856621226,0.9998638880926565,-0.00041346880154111663,0.10642898156057239,-0.12403091527335225,0.00861148077361487,-1.2139246414403544,1.5,2.0,0.0056872630102294975,1.3397075952382458,0.3442931032885603,0.5087118306134004,-0.00021036510412907172,2.3498353202734528,-2.104594338474044
0.5,0.10784568695610473,-0.48343442956093124,1.9777595929722853,1.00006243141458,-0.00020706546390550376,0.13820043861022518,-0.16142397823509072,0.007847453370174489,-1.0608476348926323,1.5,2.0,27.934927130277014,-0.31254845701925127,-0.01531597187419228,1.792249221995814,0.10784568695610473,-0.48343442956093124,1.9777595929722853,1.00006243141458,-0.00020706546390550376,0.13820043861022518,-0.16142397823509072,0.007847453370174489,-1.0608476348926323,1.5,2.0,0.005229923830642723,1.6423150872724015,-0.21825347036081957,0.5056541932437963,-0.0001046969837189941,2.01340283823054,-2.2856263311379448
0.6000000000000001,0.16398605731176882,-0.5660360367499551,1.990404579375486,1.0000929668174727,3.767695669166249e-05,0.11382320879785073,-0.1926788239370158,0.006315856182755265,-0.8816227126930513,1.5,2.0,27.388663384413203,-0.21008720944573694,-0.020230256824719465,2.008224206857047,0.16398605731176882,-0.5660360367499551,1.990404579375486,1.0000929668174727,3.767695669166249e-05,0.11382320879785073,-0.1926788239370158,0.006315856182755265,-0.8816227126930513,1.5,2.0,0.0037598110546090135,1.9100470055459682,-0.4574375189488382,0.5024571271491267,1.8929295622643763e-05,1.5897870935289857,-2.4294192246824267
0.7000000000000001,0.23476977529470341,-0.6364481311000071,1.9994369650364199,1.0000610366745502,0.0001709770851458461,0.06618029967703698,-0.2136875448815895,0.004292830500283318,-0.6808002920073467,1.5,2.0,27.56845869362708,-0.11397831547074655,-0.022314991422701012,2.174691521970175,0.23476977529470341,-0.6364481311000071,1.9994369650364199,1.0000610366745502,0.0001709770851458461,0.06618029967703698,-0.2136875448815895,0.004292830500283318,-0.6808002920073467,1.5,2.0,0.0022018440472230563,2.121863700508105,-0.43493445521308294,0.5001713253092397,8.551261586920382e-05,1.093287374668717,-2.498090188186451
0.8,0.31864955338352674,-0.6905407869078282,2.003843844246737,1.0000233566410879,0.0001847271886573966,0.0215875642307732,-0.2250853764286641,0.002061331358013217,-0.46333113981032914,1.5,2.0,28.08786637638275,-0.04677175393436736,-0.021031642221878116,2.288016696795384,0.31864955338352674,-0.6905407869078282,2.003843844246737,1.0000233566410879,0.0001847271886573966,0.0215875642307732,-0.2250853764286641,0.002061331358013217,-0.46333113981032914,1.5,2.0,0.0004297732774372782,2.2676136794045996,-0.2808894602642109,0.49905253820664147,9.21864192101442e-05,0.5520313722639985,-2.4593483955673423
0.9,0.4124139996599376,-0.7246723022622601,2.0045827489068966,0.9999859304397953,0.0001181425300306742,-0.006964354730894653,-0.22976255182210092,-4.183286417459479e-05,-0.2345294701307906,1.5,2.0,28.614601131911282,-0.002712778854747368,-0.018380128366897664,2.345605985184735,0.4124139996599376,-0.7246723022622601,2.0045827489068966,0.9999859304397953,0.0001181425300306742,-0.006964354730894653,-0.22976255182210092,-4.183286417459479e-05,-0.2345294701307906,1.5,2.0,-0.0006083083716193408,2.3481520732144157,-0.11166371593513212,0.4988499132725201,5.8936220066294383e-05,0.005820965978308501,-2.2937074880350505
